"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"30",489,0,263,602,383,34,0,332,0,1,154,155,0,1,253,0,167,154,249,151,0,0,0,79,108,208,185,0,157,0,246,136,0,6,151,51,154,0,0,0,0,81,117,473,0,81,69,0,0,90
"31",365,0,243,1194,360,25,0,297,0,8,134,152,0,3,208,0,146,136,216,138,0,0,4,84,94,141,124,0,150,246,0,149,0,9,108,66,124,0,0,0,0,79,105,113,3,85,87,0,0,87
"32",405,13,252,460,466,70,0,200,8,2,123,127,5,2,472,2,86,103,628,96,0,2,4,56,87,529,113,0,310,136,149,0,0,3,300,53,446,0,0,0,0,65,64,189,0,41,66,0,1,56
"33",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,377,233,0,204,0,0,0,0,0,0,0,0,0
"34",26,97,8,18,15,373,44,10,57,195,14,8,41,360,14,43,10,11,9,6,30,62,159,9,4,2,6,35,5,6,9,3,2,0,10,2,2,0,0,19,0,3,5,1,235,3,2,13,38,4
"35",448,0,124,426,440,92,0,196,0,2,176,127,0,1,397,0,84,95,520,89,0,0,3,55,77,387,87,0,340,151,108,300,0,10,0,26,336,0,0,0,0,49,70,242,3,42,46,0,0,62
"36",1619,0,908,231,115,19,0,86,0,0,1448,564,0,0,73,0,947,1121,76,391,0,0,0,712,405,43,241,0,40,51,66,53,0,2,26,0,32,0,0,0,0,224,65,26,0,171,243,0,0,85
"37",399,0,171,545,421,63,0,205,0,0,124,140,0,0,525,0,89,75,700,87,0,0,0,68,47,788,91,0,308,154,124,446,0,2,336,32,0,0,0,0,0,49,76,247,1,47,59,0,0,81
"38",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,210,0,209,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,210,0,0,107,0,0,0,1,0,0,0,0,0
"40",0,917,0,0,0,0,430,0,619,0,0,0,167,0,0,346,0,0,0,0,340,254,0,0,0,0,0,236,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,68,96,0
"41",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,204,0,0,0,0,209,107,0,0,0,0,0,0,0,0,0,0,0
"42",682,0,508,266,216,10,0,209,0,0,443,665,0,0,115,0,399,324,89,719,0,0,0,501,260,79,213,0,60,81,79,65,0,3,49,224,49,0,0,0,0,0,159,54,1,249,702,0,0,296
"43",351,0,286,237,364,28,0,222,0,1,177,403,0,0,316,0,130,149,175,218,0,0,0,175,140,75,140,0,85,117,105,64,0,5,70,65,76,0,0,0,0,159,0,52,0,182,134,0,0,336
"44",347,1,156,508,490,34,0,179,1,1,118,90,0,2,329,1,85,86,316,84,0,0,6,57,65,300,79,0,231,473,113,189,0,1,242,26,247,0,0,0,0,54,52,0,1,40,54,0,0,64
"45",1,2,0,4,4,254,0,0,0,152,1,0,0,204,5,0,0,0,3,0,0,0,125,0,1,0,0,0,0,0,3,0,0,235,3,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0
"46",577,0,552,227,202,6,0,159,0,1,518,1113,0,0,91,0,348,357,78,390,0,0,0,490,631,58,191,0,49,81,85,41,0,3,42,171,47,0,0,0,0,249,182,40,0,0,239,0,0,170
"47",600,0,397,262,157,10,0,154,0,0,434,506,0,0,92,0,395,319,84,610,0,0,0,457,221,49,159,0,64,69,87,66,0,2,46,243,59,0,0,0,0,702,134,54,1,239,0,0,0,280
"48",0,605,0,0,0,0,168,0,157,0,0,0,90,0,0,156,0,0,0,0,179,97,0,0,0,0,0,117,0,0,0,0,0,13,0,0,0,0,0,68,0,0,0,0,0,0,0,0,33,0
"49",0,567,0,0,0,0,319,0,300,0,0,0,801,0,0,139,0,0,0,0,291,371,0,0,0,0,0,229,0,0,0,1,0,38,0,0,0,0,0,96,0,0,0,0,0,0,0,33,0,0
"50",329,0,256,277,252,10,0,160,0,1,175,353,0,0,172,0,175,130,114,306,0,0,0,203,128,85,117,0,110,90,87,56,0,4,62,85,81,0,0,0,0,296,336,64,0,170,280,0,0,0
