date,united,party,national,american,john,south,world,british,australian,australia,university,international,house,york,european,wikinews,bush,north,david,america,city,canada,department,union,london,council,iraq,state,kingdom,court,george,nations,china,news,u.s.,democratic,uk,france,obama,washington,michael,europe,us,bbc,center,committee,west,east,paul,for,security,california,africa,senate,war,air,england,white,germany,french,india,ministry,russia,zealand,press,israel,republic,iran,japan,category,times,police,afghanistan,association,robert,peter,chinese,internet,act,de,islamic,county,cup,commission,african,britain,mark,agency,iraqi,space,james,pakistan,korea,park,justice,un,office,royal,army,central
201106,15,14,17,12,8,5,8,12,1,2,6,9,6,16,10,3,2,12,4,7,3,1,4,6,1,3,3,11,6,1,9,9,5,7,12,7,6,3,10,9,6,2,10,8,3,1,3,1,6,3,2,6,3,3,10,1,2,3,2,2,0,1,5,1,0,0,3,1,3,0,3,1,5,2,2,1,3,4,2,1,3,0,0,0,2,3,3,2,0,18,6,2,3,3,1,2,2,5,4,1
201107,8,7,13,5,7,13,15,12,0,1,13,10,7,4,6,2,0,3,9,6,3,2,2,4,8,2,0,2,5,4,1,3,5,16,5,4,2,2,6,1,2,2,8,4,2,2,1,5,7,2,2,3,3,5,1,2,0,6,3,1,0,0,2,0,0,2,1,0,4,0,1,8,5,5,2,1,2,2,0,2,1,1,0,1,2,4,2,0,0,10,2,0,1,1,1,0,0,4,2,3
201108,11,8,8,6,5,9,8,6,3,4,3,6,6,13,3,4,4,3,8,2,5,0,7,2,4,0,2,4,8,3,4,2,2,9,5,3,5,5,10,5,4,1,4,7,2,4,3,2,7,3,2,0,3,6,0,5,9,4,2,1,6,0,4,1,0,1,0,0,3,0,4,13,2,2,3,0,3,1,5,1,1,1,1,5,4,0,4,2,0,1,1,2,1,3,1,1,2,4,0,2
201109,0,4,4,2,0,0,0,3,2,4,1,2,1,0,2,2,0,0,0,1,1,0,2,2,0,2,0,4,0,4,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,3,0,0,0,0,2,2,0,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,1,3,1,0,0,0,1,3,2,0,0,0,0,0,0,0,2,0,1,0,0,0
201110,4,6,8,2,0,3,2,3,2,5,12,2,1,2,2,3,0,1,5,2,1,1,2,1,10,5,0,1,4,1,0,0,2,2,5,1,4,0,3,1,2,2,1,0,2,0,0,1,5,2,0,0,3,0,0,0,1,0,0,0,2,0,0,1,4,3,0,1,2,0,0,0,0,1,1,2,1,1,0,2,0,0,0,0,1,1,0,2,0,0,2,1,0,0,0,0,1,0,0,0
201111,2,16,3,2,3,0,2,4,2,2,2,1,6,2,7,1,3,0,0,3,6,0,0,3,1,2,0,0,0,3,2,1,0,3,5,6,3,0,5,2,1,3,2,3,0,2,2,1,1,1,1,1,0,4,1,0,1,3,1,0,2,0,0,1,2,0,0,0,0,0,0,2,1,1,2,0,1,1,4,3,1,3,1,5,2,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0
201201,15,18,14,8,8,10,6,7,2,4,6,3,10,9,2,7,1,2,8,6,4,0,9,0,1,0,1,8,6,5,4,6,9,3,3,4,4,2,6,4,2,2,11,0,2,5,1,2,8,2,3,3,3,3,2,1,2,5,3,0,11,2,2,1,2,2,2,3,3,0,2,3,2,3,2,1,1,1,7,1,5,3,0,2,0,0,1,3,0,1,4,2,2,1,3,3,2,3,2,0
201205,9,15,15,5,15,6,4,2,16,16,9,6,5,5,7,12,1,3,4,6,5,2,2,4,4,2,2,2,5,2,2,4,3,4,6,28,4,1,16,4,6,1,4,4,2,4,10,1,8,1,3,3,4,2,3,0,6,3,2,0,1,1,6,2,4,1,2,2,2,0,1,2,1,2,1,2,1,1,4,3,0,1,3,5,3,4,3,1,0,3,1,3,1,8,1,1,2,3,4,3
201202,12,27,16,6,6,2,4,5,4,3,5,5,6,6,1,13,2,0,1,5,4,2,5,1,4,7,2,9,5,0,5,5,2,5,9,6,5,2,9,0,2,5,6,2,2,8,2,3,5,3,6,2,0,6,0,1,3,3,4,2,4,3,5,0,4,2,1,2,0,0,0,3,3,0,4,2,0,6,1,0,2,0,0,2,0,2,0,1,1,0,0,0,0,0,1,3,4,1,3,0
201203,11,13,9,10,9,4,13,3,25,21,8,17,7,9,3,8,1,6,3,5,9,1,3,2,6,8,0,4,3,2,0,6,5,4,5,8,4,2,9,3,3,4,8,3,1,3,0,0,9,1,4,2,0,2,1,1,0,3,3,1,4,0,2,3,6,1,3,1,7,0,1,0,2,5,2,0,1,0,8,9,2,1,5,4,0,1,1,2,1,0,4,1,3,2,1,0,2,1,3,2
201204,13,20,14,7,5,5,10,2,6,8,6,6,3,3,4,6,4,11,2,5,2,1,4,4,2,6,0,6,2,6,5,6,4,8,4,10,2,4,6,5,1,4,6,1,4,4,1,1,8,8,4,4,6,2,7,1,2,1,3,5,2,1,3,1,1,2,4,4,3,0,1,1,2,4,0,4,4,0,3,4,0,1,0,1,3,1,2,1,0,0,6,4,6,1,0,5,1,0,1,3
201206,7,11,7,2,4,7,9,5,23,16,4,4,5,3,6,7,3,3,5,7,1,4,1,3,14,6,0,5,4,7,5,0,5,5,4,4,3,2,4,3,5,4,2,3,2,8,4,0,6,1,4,5,4,1,2,1,3,0,6,3,1,0,9,0,4,0,2,0,0,0,2,0,1,1,0,1,3,1,1,0,1,3,1,1,3,3,3,0,0,0,2,0,0,2,1,2,2,0,1,1
201207,6,13,4,5,4,13,9,4,16,12,2,0,1,0,7,7,3,2,1,2,0,1,0,3,17,0,0,5,6,3,3,0,6,3,2,1,9,2,6,3,4,2,0,6,0,4,0,1,4,0,0,4,1,0,0,0,1,0,7,0,0,0,1,1,0,2,0,0,5,0,0,0,0,1,0,0,6,2,6,4,0,0,0,1,2,8,3,3,0,0,2,0,1,8,1,0,4,0,0,0
201208,3,26,8,3,6,13,9,6,21,12,6,8,1,1,1,9,2,7,4,4,3,6,1,0,35,1,2,1,1,3,5,1,5,2,2,5,0,3,5,1,2,0,6,0,1,28,3,3,5,2,0,3,5,0,1,4,25,0,5,2,0,0,3,2,1,1,0,4,2,0,0,1,0,0,3,2,3,1,2,6,0,1,2,3,3,7,1,1,1,1,1,0,5,3,5,0,0,1,1,0
201209,5,8,10,4,2,12,10,5,27,28,6,6,6,6,4,16,2,13,7,5,6,17,4,4,61,1,1,0,2,3,2,0,13,6,4,8,0,9,8,0,4,3,4,1,2,28,5,1,7,4,2,2,3,2,6,0,39,1,7,2,2,0,5,2,1,1,3,4,6,1,0,0,1,0,0,1,8,3,2,2,2,2,4,0,4,16,0,3,0,0,2,3,4,6,0,0,2,0,1,0
201210,11,6,5,7,3,1,3,3,0,1,5,2,3,9,0,3,0,2,1,8,6,1,3,0,0,0,1,0,5,0,4,4,3,7,3,7,1,1,13,3,2,0,1,3,4,0,2,3,4,1,0,1,0,2,2,1,1,1,1,0,1,1,1,0,0,3,2,4,0,0,1,0,1,2,0,0,2,1,4,0,4,1,2,2,0,0,2,4,0,0,0,1,0,0,0,0,0,0,3,1
201211,11,15,2,0,1,4,2,2,0,2,4,3,6,6,3,5,1,2,3,3,7,0,2,1,0,1,0,3,4,2,4,4,1,8,3,2,1,1,11,2,1,0,2,5,1,1,0,2,5,1,1,1,1,1,4,0,1,0,1,1,0,2,1,0,0,9,0,0,1,0,1,3,0,0,0,1,0,4,0,0,2,0,0,2,1,0,1,1,0,4,0,0,1,2,3,1,0,0,0,0
