"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"31",49,26,38,28,51,13,90,44,38,77,27,15,16,15,0,10,37,12,18,8,19,0,7,0,19,0,0,6,58,0,0,17,0,19,24,14,9,0,20,17,5,0,18,8,9,4,6,14,6,8
"32",24,95,30,38,30,24,28,26,40,21,17,44,37,55,0,66,23,53,22,39,16,1,73,0,17,0,0,21,12,0,17,0,0,10,8,8,29,4,16,3,8,0,6,8,10,10,8,4,19,2
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,9,0,0,17,0,0,25,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0
"34",151,7,29,25,46,23,28,13,9,23,18,6,13,10,0,8,32,6,15,12,13,0,4,0,15,0,0,6,28,0,19,10,0,0,13,8,4,0,15,33,26,0,13,17,2,5,12,11,1,9
"35",41,6,15,37,32,25,46,29,14,32,21,2,12,10,0,10,33,15,11,5,22,0,3,0,6,0,0,6,32,0,24,8,0,13,0,13,7,0,32,24,7,1,13,14,1,5,3,16,3,8
"36",20,17,18,26,24,13,31,19,38,21,10,9,9,13,0,9,14,13,15,3,22,0,7,0,10,0,0,5,11,0,14,8,0,8,13,0,22,0,7,27,1,0,7,8,1,6,5,6,6,5
"37",20,71,26,22,15,8,18,27,33,20,7,36,88,13,0,31,9,71,13,3,11,0,31,0,10,0,0,9,10,0,9,29,0,4,7,22,0,1,5,6,2,0,16,7,18,2,2,4,7,3
"38",1,1,0,0,0,1,0,0,0,0,0,0,1,3,8,3,0,0,1,1,0,0,3,5,0,0,1,0,0,3,0,4,9,0,0,0,1,0,1,0,1,2,0,1,1,0,0,0,0,0
"39",31,6,12,30,50,16,27,17,14,31,15,7,15,15,0,17,34,17,4,20,15,0,9,0,8,0,0,6,26,0,20,16,0,15,32,7,5,1,0,16,8,0,10,7,1,1,6,18,2,6
"40",56,12,18,27,27,16,27,22,10,28,24,3,9,6,0,7,23,11,12,6,22,0,6,0,11,0,0,14,29,0,17,3,0,33,24,27,6,0,16,0,8,0,8,14,0,0,3,12,2,7
"41",171,11,6,24,17,31,6,5,8,15,14,3,3,9,0,11,17,3,5,4,7,0,3,0,10,0,0,3,9,0,5,8,0,26,7,1,2,1,8,8,0,0,4,11,3,2,2,6,2,3
"42",2,0,0,0,0,0,1,0,2,1,0,0,0,0,17,0,2,0,0,0,1,0,0,126,0,0,9,0,0,13,0,0,5,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0
"43",22,37,21,20,21,17,36,29,31,38,14,11,22,5,0,11,24,33,11,2,14,0,14,0,13,0,0,12,25,0,18,6,0,13,13,7,16,0,10,8,4,0,0,10,6,1,4,11,2,9
"44",73,14,19,28,17,8,14,22,17,15,6,9,10,8,0,8,29,9,8,6,29,0,6,0,6,0,0,18,10,0,8,8,0,17,14,8,7,1,7,14,11,2,10,0,2,2,7,16,2,21
"45",12,186,17,7,6,8,7,4,8,6,5,12,5,4,0,13,3,17,9,1,4,0,11,0,14,0,0,2,7,0,9,10,0,2,1,1,18,1,1,0,3,0,6,2,0,0,2,2,4,2
"46",13,4,8,11,9,5,5,15,10,5,2,1,4,9,1,9,13,4,9,18,8,0,3,1,2,0,1,1,3,0,4,10,0,5,5,6,2,0,1,0,2,1,1,2,0,0,2,6,3,0
"47",18,5,7,102,10,1,7,8,15,12,4,3,7,5,0,9,35,4,3,4,11,0,2,0,1,0,0,1,6,0,6,8,0,12,3,5,2,0,6,3,2,0,4,7,2,2,0,17,4,7
"48",42,8,8,67,39,11,22,42,16,25,16,10,6,9,0,13,89,9,8,7,23,0,10,0,7,0,0,7,19,0,14,4,0,11,16,6,4,0,18,12,6,0,11,16,2,6,17,0,2,17
"49",6,18,8,11,16,10,14,6,9,4,4,9,6,84,2,25,3,9,9,20,8,0,13,0,4,0,0,8,4,1,6,19,0,1,3,6,7,0,2,2,2,0,2,2,4,3,4,2,0,2
"50",30,5,11,30,14,12,9,9,12,8,8,5,4,5,0,5,17,9,9,7,17,0,1,0,3,0,0,8,8,0,8,2,0,9,8,5,3,0,6,7,3,0,9,21,2,0,7,17,2,0
